date,time,impressions,reach,social,reactions,comments,reposts,saves,profile_views,followers_gained,post_url,notion_draft,export_id,pulled
2026-09-01,11:54 AM,448,290,4,1,1,1,1,5,1,https://www.linkedin.com/posts/alexyedi_voice-agent-event-3-pdf-ugcPost-7500581974257025025-E8XO,https://app.notion.com/p/3cbd3699c2db818fa5e2f64363adb531,7500581975712387072,2026-09-14
2026-09-10,11:56 AM,438,285,13,7,3,1,2,5,0,https://www.linkedin.com/posts/alexyedi_daytona-ugcPost-7503843894598729730-jedK,https://app.notion.com/p/3d7d3699c2db81df8e1ff6c502d9bf4d,7503843897949749248,2026-09-14
2026-09-02,1:50 PM,286,173,3,1,2,0,0,4,0,https://www.linkedin.com/posts/alexyedi_voice-ai-3-post-post-ugcPost-7500973375435984896-KgGj,https://app.notion.com/p/3cfd3699c2db816bad1cd1686ccf8e62,7500973378598649856,2026-09-14
2026-09-08,1:43 PM,184,130,1,0,0,0,1,1,0,https://www.linkedin.com/posts/alexyedi_the-best-ai-rooms-in-nyc-this-week-arent-share-7503146048241029121-1Yqa,https://app.notion.com/p/3d5d3699c2db81abaad0edc2ce658411,7503146049251807232,2026-09-14
2026-08-31,1:50 PM,299,215,4,4,0,0,0,2,0,https://www.linkedin.com/posts/alexyedi_a-voice-agent-panel-a-teardown-of-a-company-share-7500248629547417600-2RJc,https://app.notion.com/p/3cdd3699c2db819a8c00d514e65c121a,7500248631065743363,2026-09-14
2026-09-09,11:07 AM,133,97,1,0,1,0,0,0,0,https://www.linkedin.com/posts/alexyedi_glm-53-ugcPost-7503469074841239553-U9SX,https://app.notion.com/p/3d5d3699c2db81aabecff367aa49346c,7503469076330082306,2026-09-14
2026-08-28,10:29 AM,238,151,7,4,3,0,0,2,0,https://www.linkedin.com/posts/alexyedi_gtm-slop-carousel-ugcPost-7499111041809694721-L_aq,https://app.notion.com/p/3cad3699c2db8145a568dbe7071edc9b,7499111045257674753,2026-09-14
2026-08-27,2:12 PM,119,74,4,4,0,0,0,0,0,https://www.linkedin.com/posts/alexyedi_two-rooms-ugcPost-7498804571729854464-0Ub8,https://app.notion.com/p/3c9d3699c2db81faa53ee2b8ce079ab0,7498804574535819264,2026-09-14
